NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040269002402,73.3,26.7,66.7,33.3,4.0,38936.0,47305.0,41726.0,AZ
040269002481,78.6,21.4,61.9,38.1,5.0,38321.0,45222.0,40950.0,AZ
040269002482,66.7,33.3,55.6,44.4,5.0,37939.0,45074.0,41110.0,AZ
040269003124,72.0,28.0,72.0,28.0,5.0,40165.0,52388.0,43588.0,AZ
040269003125,85.7,14.3,66.1,33.9,6.0,40927.0,51875.0,44641.0,AZ
040269003126,62.0,38.0,67.8,32.2,5.0,38453.0,48020.0,41537.0,AZ
040274000203,60.0,40.0,0.0,100.0,9.0,,48568.0,48568.0,AZ
040274001625,66.7,,0.0,100.0,12.0,,49601.0,49601.0,AZ
040276000204,81.8,,,90.9,10.0,,35667.0,35052.0,AZ
040279000207,90.9,,36.4,63.6,11.0,33766.0,39747.0,37572.0,AZ
040279000208,100.0,0.0,57.1,42.9,8.0,32732.0,37627.0,34830.0,AZ
040279000209,70.6,29.4,35.3,64.7,10.0,33102.0,36799.0,35494.0,AZ
040279001060,79.2,20.8,29.2,70.8,11.0,33758.0,39820.0,38052.0,AZ
