NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
400300002101	78.4	21.6	21.6	78.4	13	28011	33629	32415
400301000056	88.9	-1.0	27.8	72.2	11	28600	34127	32592
400306000057	60.0	40.0	16.0	84.0	18	30004	38762	37360
400306000058	75.0	25.0	16.7	83.3	12	29550	34333	33536
400306000762	52.9	47.1	-1.0	94.1	17	-1	36593	36164
400306002292	68.8	31.3	-1.0	87.5	13	-1	34609	34000
400312000063	37.5	62.5	-1.0	75.0	17	-1	36879	35071
400312029657	45.5	54.5	27.3	72.7	14	29500	37642	35422
400318000069	80.0	20.0	15.0	85.0	14	27342	33499	32575
400318029630	92.3	-1.0	38.5	61.5	8	28077	30934	29835
400318029631	86.7	-1.0	26.7	73.3	12	27424	33302	31734
400318029632	75.0	25.0	50.0	50.0	9	27835	33516	30675
400318029635	80.8	19.2	38.5	61.5	9	28153	32073	30565
400318029636	69.4	30.6	19.4	80.6	16	28348	34366	33196
400318029637	66.7	33.3	37.5	62.5	10	28365	33307	31454
400321000075	83.3	-1.0	41.7	58.3	11	28150	34825	32044
400321029694	80.0	-1.0	-1.0	60.0	6	-1	31900	30340
400324000077	-1.0	66.7	0.0	100.0	20	-2	35721	35721
400324000078	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
400330000082	100.0	0.0	57.1	42.9	5	28188	31667	29679
400330000083	83.3	-1.0	-1.0	66.7	16	-1	36643	35853
400336000084	63.2	36.8	36.8	63.2	14	29892	35545	33462
400336000085	66.7	33.3	-1.0	88.9	12	-1	33676	33170
400336002110	100.0	0.0	-1.0	85.7	15	-1	34485	33612
400345000088	100.0	0.0	85.7	-1.0	4	28618	-1	29454
400351000089	-1.0	-1.0	0.0	100.0	23	-2	36575	36575
400351000090	100.0	0.0	-1.0	75.0	10	-1	33767	34775
400354000091	90.9	-1.0	54.5	45.5	7	29173	33280	31040
400357000092	87.5	-1.0	31.3	68.8	11	28615	33982	32305
400357000093	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
400357029727	100.0	0.0	-1.0	-1.0	17	-1	-1	33955
400363001962	67.9	32.1	-1.0	92.9	15	-1	34913	34594
400363029818	88.0	12.0	12.0	88.0	16	27431	35208	34275
400363029819	69.6	30.4	26.1	73.9	15	29075	35410	33758
400363029820	81.0	19.0	28.6	71.4	11	29368	33639	32419
400363029821	75.0	25.0	12.5	87.5	16	28599	35359	34514
400363029822	80.8	19.2	15.4	84.6	14	28384	34793	33807
400363029823	78.6	21.4	25.0	75.0	12	28857	34180	32849
400363029824	75.6	24.4	26.7	73.3	13	28726	35335	33573
400363029825	77.8	22.2	36.1	63.9	11	29195	35025	32919
400363029826	61.4	38.6	15.9	84.1	16	29411	36197	35117
400363029827	69.8	30.2	18.9	81.1	14	29255	34677	33654
400366000112	70.0	30.0	30.0	70.0	12	29905	34457	33092
400366029703	-1.0	75.0	-1.0	-1.0	10	-1	-1	34950
400369000114	87.5	-1.0	-1.0	75.0	15	-1	34302	33054
400375000115	86.7	-1.0	0.0	100.0	20	-2	35387	35387
400375000116	76.9	23.1	0.0	100.0	20	-2	36669	36669
400381000118	86.7	13.3	26.7	73.3	14	27369	34127	32325
400381000119	100.0	0.0	35.3	64.7	12	27900	34849	32396
400381000120	78.9	21.1	15.8	84.2	15	28478	33749	32917
400384000121	83.3	-1.0	0.0	100.0	17	-2	34444	34444
400387000122	54.5	45.5	-1.0	90.9	18	-1	31196	30939
400393000123	44.4	55.6	33.3	66.7	15	28375	37412	34400
400393000124	100.0	0.0	-1.0	60.0	9	-1	32658	31536
400402000126	100.0	0.0	18.2	81.8	12	28500	33503	32593
400402000127	70.6	29.4	17.6	82.4	15	28900	35937	34695
400402000128	64.3	35.7	21.4	78.6	14	29417	35430	34141
400411000130	66.7	33.3	33.3	66.7	11	29861	35164	33396
400411000131	67.9	32.1	28.6	71.4	12	29724	36198	34348
400411029722	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
400411029723	53.3	46.7	26.7	73.3	11	30360	34508	33402
400423000132	80.6	19.4	27.8	72.2	11	28185	32757	31487
400423000133	80.0	20.0	48.0	52.0	10	28124	34593	31488
400423001417	73.7	26.3	-1.0	94.7	15	-1	33507	33219
400435000138	70.0	30.0	-1.0	80.0	16	-1	35425	33940
400435000139	-1.0	-1.0	0.0	100.0	11	-2	35423	35423
400436000140	100.0	0.0	-1.0	83.3	16	-1	34750	33625
400436000141	100.0	0.0	50.0	50.0	9	31117	34167	32642
400447000146	78.3	21.7	30.4	69.6	11	30087	37278	35089
400450000147	79.4	20.6	11.8	88.2	13	28619	33546	32967
400450000148	81.0	19.0	19.0	81.0	13	28729	34858	33690
400450002097	81.3	18.8	25.0	75.0	14	28517	35013	33389
400450002334	81.4	18.6	20.9	79.1	12	28770	33291	32345
400450002335	70.6	29.4	20.6	79.4	14	28903	34657	33472
400463000151	75.8	24.2	18.2	81.8	15	29653	36236	35039
400463000152	90.9	-1.0	27.3	72.7	11	29170	33305	32177
400463000153	100.0	0.0	25.0	75.0	12	29200	33236	32227
400463000155	78.6	21.4	-1.0	92.9	17	-1	35426	35002
400463000156	68.8	31.3	-1.0	93.8	16	-1	34733	34458
400465000157	72.7	27.3	-1.0	90.9	16	-1	34803	34252
400465000158	75.0	-1.0	-1.0	75.0	19	-1	41253	37940
400468000159	87.5	12.5	31.3	68.8	11	26898	32071	30455
400468000160	80.0	20.0	16.0	84.0	12	27958	32094	31433
400468002240	87.0	13.0	13.0	87.0	13	26837	32026	31349
400468002368	92.9	-1.0	21.4	78.6	11	26489	31522	30444
400483000164	100.0	0.0	42.9	57.1	7	28750	31438	30286
400483002082	0.0	-1.0	-1.0	0.0	-1	-1	-2	-1
400486000166	93.3	-1.0	-1.0	86.7	19	-1	35746	34838
400486000167	77.8	-1.0	0.0	100.0	20	-2	37149	37149
400495000170	66.7	33.3	55.6	44.4	10	29215	35636	32069
400495029693	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
400500000172	-1.0	-1.0	0.0	100.0	20	-2	36269	36269
400500000173	100.0	0.0	0.0	100.0	22	-2	35608	35608
400501005010	61.1	38.9	0.0	100.0	17	-2	36370	36370
400501005012	71.4	-1.0	0.0	100.0	17	-2	37148	37148
400501005013	52.9	47.1	-1.0	88.2	17	-1	38559	37619
400504000177	80.0	-1.0	-1.0	90.0	17	-1	35704	35114
400504002369	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
400504029640	100.0	0.0	-1.0	-1.0	9	-1	-1	31858
400513000179	76.9	23.1	30.8	69.2	10	29335	33811	32434
400513000180	87.5	-1.0	-1.0	75.0	11	-1	35675	33972
400516000181	66.7	33.3	-1.0	88.9	15	-1	34877	34154
400519000182	80.0	-1.0	0.0	100.0	23	-2	36600	36600
400528000185	80.0	-1.0	-1.0	80.0	13	-1	34241	33180
400528000186	75.0	-1.0	0.0	100.0	18	-2	35163	35163
400531000187	100.0	0.0	60.0	-1.0	9	29400	-1	31747
400531000188	71.4	-1.0	57.1	42.9	11	31313	33267	32150
400534000189	84.2	15.8	0.0	100.0	19	-2	35951	35951
400534000190	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
400540001674	75.0	25.0	-1.0	91.7	17	-1	35294	34748
400540029674	81.8	18.2	24.2	75.8	13	29011	34633	33270
400540029677	52.4	47.6	14.3	85.7	15	29825	35369	34577
400543000192	84.1	15.9	15.9	84.1	12	28696	33180	32467
400546000193	71.4	28.6	25.7	74.3	13	29936	36419	34752
400546000195	79.3	20.7	27.6	72.4	13	29587	35930	34180
400546000196	83.3	16.7	-1.0	91.7	15	-1	35312	35005
400546002083	68.2	31.8	18.2	81.8	14	29906	36285	35125
400549000197	65.4	34.6	19.2	80.8	16	30177	38364	36789
400549000198	66.7	33.3	18.3	81.7	15	31098	38018	36749
400549000199	70.1	29.9	23.9	76.1	14	30347	37566	35842
400549000200	66.7	33.3	15.4	84.6	13	30375	36094	35214
400549000203	91.4	8.6	28.6	71.4	15	30255	37419	35372
400549000204	89.3	10.7	17.9	82.1	11	30378	35100	34256
400549000205	72.2	27.8	16.7	83.3	15	29668	37175	35924
400549000207	65.4	34.6	15.4	84.6	16	30296	38536	37269
400549001460	84.8	15.2	30.3	69.7	10	30525	35698	34130
400549001856	80.8	19.2	21.2	78.8	14	30366	37122	35693
400549001876	78.1	21.9	31.3	68.8	13	30635	37501	35355
400549002095	65.1	34.9	11.6	88.4	15	29884	36951	36129
400549002362	89.7	10.3	35.9	64.1	11	30388	35914	33930
400549029801	92.3	-1.0	23.1	76.9	16	30415	38171	36381
400549029802	80.6	19.4	32.3	67.7	12	29923	36624	34463
400549029803	74.1	25.9	18.5	81.5	16	30253	37780	36386
400549029804	83.3	16.7	13.9	86.1	15	31247	37150	36330
400549029805	75.9	24.1	24.1	75.9	13	30459	37135	35524
400549029806	71.4	28.6	-1.0	96.4	18	-1	38175	37893
400549029807	85.7	14.3	20.0	80.0	14	30524	36460	35272
400549029808	66.7	33.3	21.1	78.9	14	30921	37037	35749
400549029849	83.3	16.7	23.3	76.7	16	30636	37918	36219
400552000208	72.2	27.8	-1.0	88.9	16	-1	33613	32849
400552000209	80.0	17.5	30.0	70.0	10	27673	32485	31041
400552000211	72.7	27.3	-1.0	90.9	19	-1	34181	33488
400552029704	86.7	13.3	36.7	63.3	13	27025	32746	30649
400558000214	88.9	-1.0	33.3	66.7	11	28375	34452	32426
400576000215	60.0	-1.0	-1.0	80.0	16	-1	36138	34760
400576000216	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
400576029684	-1.0	-1.0	0.0	-1.0	-1	-2	-1	-1
400582000217	100.0	0.0	-1.0	85.7	14	-1	33779	32954
400582029692	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
400591000220	-1.0	71.4	-1.0	71.4	16	-1	36880	35057
400591000221	-1.0	0.0	-1.0	0.0	-1	-1	-2	-1
400597000225	66.7	-1.0	-1.0	66.7	11	-1	34138	32154
400597000226	-1.0	-1.0	-1.0	-1.0	12	-1	-1	32717
400600000227	90.9	-1.0	-1.0	81.8	14	-1	34206	33214
400600000228	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
400603000229	80.0	-1.0	-1.0	60.0	8	-1	32492	31145
400606000230	41.7	58.3	0.0	100.0	23	-2	35386	35386
400606029749	47.2	52.8	19.4	80.6	13	27043	32542	31473
400606029750	63.6	36.4	-1.0	90.9	16	-1	33093	32583
400606029751	58.3	41.7	0.0	100.0	17	-2	33062	33062
400606029752	70.0	-1.0	40.0	60.0	11	27999	33612	31367
400612000107	73.3	26.7	26.7	73.3	12	29256	34117	32821
400612000235	50.0	50.0	25.0	75.0	15	29163	35847	34176
400612029646	69.2	30.8	23.1	76.9	16	30879	35723	34605
400612029647	76.9	23.1	15.4	84.6	16	29345	35365	34439
400615000237	52.2	47.8	13.0	87.0	13	28750	34153	33448
400615029619	60.0	40.0	-1.0	90.0	17	-1	36519	36657
400618000239	83.3	16.7	29.2	70.8	11	28485	33987	32382
400618000240	62.5	37.5	43.8	56.3	10	29657	35446	32913
400624000241	71.4	-1.0	-1.0	71.4	14	-1	35395	33496
400627000243	87.5	-1.0	-1.0	87.5	15	-1	34075	33456
400627000244	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
400633000246	87.0	13.0	34.8	65.2	11	28703	33483	31820
400633000247	64.3	35.7	35.7	64.3	15	30710	36280	34291
400639000248	78.9	21.1	26.3	73.7	12	28825	34432	32956
400639000249	69.2	30.8	23.1	76.9	16	29223	35028	33688
400642000250	33.3	66.7	-1.0	88.9	16	-1	35391	34694
400642029614	66.7	-1.0	-1.0	83.3	16	-1	35610	34404
400648000253	58.8	41.2	-1.0	94.1	20	-1	37192	36718
400648000254	71.4	28.6	42.9	57.1	12	29252	38815	34717
400651000255	50.0	50.0	40.0	60.0	15	29050	37329	34018
400651000256	75.0	-1.0	-1.0	75.0	14	-1	46399	41799
400663000258	52.2	47.8	17.4	82.6	16	28725	36156	34864
400663000259	-1.0	80.0	0.0	100.0	19	-2	37139	37139
400663000260	-1.0	66.7	0.0	100.0	21	-2	36629	36629
400669000261	90.0	-1.0	30.0	70.0	13	28500	35126	33138
400669000262	100.0	0.0	-1.0	83.3	12	-1	34338	33448
400681000267	85.7	-1.0	0.0	100.0	17	-2	34403	34403
400681000268	73.3	26.7	20.0	80.0	13	30300	35135	34168
400685001110	85.0	15.0	15.0	85.0	11	28375	33081	32375
400685001111	75.0	25.0	-1.0	87.5	15	-1	35754	35015
400685001901	52.2	47.8	-1.0	95.7	16	-1	35631	35416
400687000270	71.1	28.9	24.4	75.6	13	27117	32492	31178
400687000273	81.0	19.0	14.3	85.7	14	27419	32785	32019
400687000811	84.4	15.6	21.9	78.1	14	26904	31935	30835
400687002309	89.5	-1.0	15.8	84.2	12	27376	31534	30878
400687029754	85.0	15.0	-1.0	90.0	18	-1	34305	33723
400693000274	92.3	-1.0	30.8	69.2	10	28631	32535	31334
400693000275	81.8	-1.0	36.4	63.6	13	29756	36438	34008
400696000276	100.0	0.0	-1.0	90.0	13	-1	31794	31565
400696029625	83.3	-1.0	-1.0	83.3	12	-1	35028	34044
